tweet_id,author,text,intent,agent_reply,source
119248,real_customer_119248,"@105838 @AppleSupport Me too am suffering , hope the can find a solution",software_update_device_issue,@105837 We can help. Which version of iOS are you on? You can find that in Settings &gt; General &gt; About. Reply in DM. https://t.co/GDrqU22YpT,real
119252,real_customer_119252,I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,software_update_device_issue,@105839 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,real
119262,real_customer_119262,"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",software_update_device_issue,@105841 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors. https://t.co/GDrqU22YpT,real
119267,real_customer_119267,Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,software_update_device_issue,"@105843 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there. https://t.co/GDrqU22YpT",real
119269,real_customer_119269,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",software_update_device_issue,@105844 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,real
119271,real_customer_119271,You’ve paralysed my phone with your update @76099 grrrrrrrrrr,software_update_device_issue,@105844 We'd be happy to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,real
119279,real_customer_119279,So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,software_update_device_issue,@105846 We'd like to help. What happens when you try to listen to Apple Music &amp; use WhatsApp? Does the music pause? Let us know in DM. https://t.co/GDrqU22YpT,real
119289,real_customer_119289,@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,software_update_device_issue,@105848 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply. https://t.co/GDrqU22YpT,real
200034,user_maria_200034,"@AppleSupport cant sign into icloud on my new phone, keeps saying incorrect password",apple_id_account_access,@user_maria_200034 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there.,synthetic
200149,user_marcus_200149,"@AppleSupport hey, how do i find my phone if i lost it ...",how_to_question,@user_marcus_200149 We can help you set that up. DM us and we'll get you the right steps.,synthetic
200004,user_maria_200004,"@AppleSupport keyboard is lagging so bad since i updated, this update is a disaster",software_update_device_issue,@user_maria_200004 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,synthetic
200128,user_priya_200128,"@AppleSupport hey, how do i set up face id on my new phone pls help",how_to_question,@user_priya_200128 Great question! Send us a DM and we'll walk you through it.,synthetic
200174,user_tom_200174,@AppleSupport does anyone actually check these messages 🙄,general_complaint_or_praise,@user_tom_200174 We're sorry to hear that and appreciate you flagging it. Please DM us so we can make this right.,synthetic
200070,user_nicole_200070,@AppleSupport got charged for an app subscription i already cancelled months ago,billing_subscription_dispute,@user_nicole_200070 Sorry to hear about the unexpected charge. Please DM us your Apple ID email so we can look into this together.,synthetic
200096,user_marcus_200096,"@AppleSupport hey, phone gets extremely hot and shuts off randomly",hardware_physical_damage,@user_marcus_200096 We can help with that. DM us your device model so we can check service options near you.,synthetic
200112,user_tom_200112,@AppleSupport home button completely stopped working out of nowhere,hardware_physical_damage,"@user_tom_200112 That sounds concerning, let's look into it. Please DM us your device model right away.",synthetic
200005,user_tara_200005,"@AppleSupport keyboard is lagging so bad since i updated, this update is a disaster ...",software_update_device_issue,@user_tara_200005 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply.,synthetic
200095,user_nicole_200095,"@AppleSupport screen cracked after i dropped my phone, whats the repair cost pls help",hardware_physical_damage,@user_nicole_200095 We can help with that. DM us your device model so we can check service options near you.,synthetic
200142,user_ryan_200142,"@AppleSupport hey, how do i find my phone if i lost it smh",how_to_question,@user_ryan_200142 Happy to help with that! Please DM us and we'll walk you through the steps.,synthetic
200077,user_ryan_200077,@AppleSupport app store charged me twice for the same purchase this week pls help,billing_subscription_dispute,@user_ryan_200077 We understand the frustration. Send us a DM with the order details or receipt so we can help.,synthetic
200146,user_tom_200146,"@AppleSupport hey, how do i transfer my photos to my new phone !!",how_to_question,@user_tom_200146 Great question! Send us a DM and we'll walk you through it.,synthetic
200065,user_amy_200065,@AppleSupport i want a refund for an app that doesnt work as advertised,billing_subscription_dispute,"@user_amy_200065 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
200008,user_ben_200008,@AppleSupport wifi keeps disconnecting every few minutes since i updated my phone ...,software_update_device_issue,@user_ben_200008 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,synthetic
200042,user_nicole_200042,@AppleSupport app store keeps asking me to sign in again and again,apple_id_account_access,@user_nicole_200042 Sorry about that! Please DM us your email associated with the Apple ID so we can look into this.,synthetic
200155,user_leah_200155,"@AppleSupport hey, so disappointed with the support ive gotten this week ...",general_complaint_or_praise,@user_leah_200155 Glad we could help! Let us know if anything else comes up.,synthetic
200085,user_amy_200085,@AppleSupport app store charged me twice for the same purchase this week smh,billing_subscription_dispute,@user_amy_200085 Sorry to hear about the unexpected charge. Please DM us your Apple ID email so we can look into this together.,synthetic
200072,user_victor_200072,@AppleSupport charged for a free trial that was supposed to be free ...,billing_subscription_dispute,"@user_victor_200072 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
200006,user_maria_200006,"@AppleSupport hey, cant believe how bad my battery life got after this update, its unusable 🙄",software_update_device_issue,@user_maria_200006 We'd love to help! Please DM us and let us know any steps you've tried since experiencing these behaviors.,synthetic
200019,user_tom_200019,"@AppleSupport my phone is so laggy since the update, everything takes forever to load smh",software_update_device_issue,@user_tom_200019 Let's take a look. What is the exact iOS you're using? Are you using any specific apps when noticing this? DM us your reply.,synthetic
200086,user_tom_200086,@AppleSupport apple music billed me after i cancelled my subscription !!,billing_subscription_dispute,@user_tom_200086 Let's take a look at that charge. Please DM us the date and amount so we can investigate.,synthetic
200150,user_marcus_200150,@AppleSupport thanks for finally getting back to me after days of waiting 🙄,general_complaint_or_praise,"@user_marcus_200150 Sorry for the trouble, we're here now. Please DM us with more details so we can assist.",synthetic
200130,user_marcus_200130,@AppleSupport how do i turn off notifications for one specific app pls help,how_to_question,@user_marcus_200130 Great question! Send us a DM and we'll walk you through it.,synthetic
200087,user_nicole_200087,@AppleSupport i want a refund for an app that doesnt work as advertised pls help,billing_subscription_dispute,@user_nicole_200087 We'd like to help with this. DM us your Apple ID email and we'll check the billing history.,synthetic
200025,user_sofia_200025,"@AppleSupport hey, phone overheats now every time i open the camera after updating !!",software_update_device_issue,@user_sofia_200025 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200036,user_priya_200036,@AppleSupport verification code never arrives when i try to sign into my apple id smh,apple_id_account_access,@user_priya_200036 Let's fix this together. DM us with when this started and we'll go from there.,synthetic
200080,user_kelly_200080,@AppleSupport subscription renewed even though i turned off auto renew ...,billing_subscription_dispute,@user_kelly_200080 We understand the frustration. Send us a DM with the order details or receipt so we can help.,synthetic
200033,user_kelly_200033,@AppleSupport forgot my apple id password and the reset link isnt coming through 🙄,apple_id_account_access,@user_kelly_200033 We can help you get back in. Please DM us so we can walk through account recovery steps.,synthetic
200157,user_kelly_200157,@AppleSupport does anyone actually check these messages,general_complaint_or_praise,@user_kelly_200157 Glad we could help! Let us know if anything else comes up.,synthetic
200023,user_maria_200023,@AppleSupport apps keep crashing constantly after the latest ios update ...,software_update_device_issue,"@user_maria_200023 Battery life is important, and we're here for you. DM us the iOS version your iPhone is running. We'll go from there.",synthetic
200175,user_omar_200175,@AppleSupport so disappointed with the support ive gotten this week 😡,general_complaint_or_praise,@user_omar_200175 We hear you and we're sorry for the delay. DM us your account details so we can help directly.,synthetic
200009,user_omar_200009,"@AppleSupport battery drains so fast after this update, from 100 to 40 in an hour smh",software_update_device_issue,@user_omar_200009 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200057,user_dana_200057,"@AppleSupport account got locked after too many login attempts, need help asap !!",apple_id_account_access,@user_dana_200057 Sorry about that! Please DM us your email associated with the Apple ID so we can look into this.,synthetic
200032,user_sofia_200032,"@AppleSupport hey, my apple id got disabled and i dont know why 🙄",apple_id_account_access,@user_sofia_200032 We can help you get back in. Please DM us so we can walk through account recovery steps.,synthetic
200126,user_leah_200126,@AppleSupport how do i find my phone if i lost it !!,how_to_question,@user_leah_200126 We can help you set that up. DM us and we'll get you the right steps.,synthetic
200154,user_sam_200154,"@AppleSupport hey, been on hold forever, nobody is answering my messages smh",general_complaint_or_praise,@user_sam_200154 We're sorry to hear that and appreciate you flagging it. Please DM us so we can make this right.,synthetic
200169,user_kelly_200169,@AppleSupport does anyone actually check these messages,general_complaint_or_praise,@user_kelly_200169 We're sorry to hear that and appreciate you flagging it. Please DM us so we can make this right.,synthetic
200101,user_alex_200101,"@AppleSupport battery is swelling and pushing the screen up, is this dangerous !!",hardware_physical_damage,@user_alex_200101 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200088,user_kelly_200088,@AppleSupport i want a refund for an app that doesnt work as advertised,billing_subscription_dispute,"@user_kelly_200088 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
200100,user_ryan_200100,"@AppleSupport hey, screen has dead pixels since yesterday, never dropped it pls help",hardware_physical_damage,@user_ryan_200100 We're here to help. Please DM us with more detail on the device and issue.,synthetic
200039,user_omar_200039,"@AppleSupport hey, cant reset my password, the email link keeps expiring smh",apple_id_account_access,"@user_omar_200039 That sounds frustrating, let's get this sorted. Send us a DM with more details so we can help.",synthetic
200037,user_omar_200037,"@AppleSupport cant reset my password, the email link keeps expiring ...",apple_id_account_access,@user_omar_200037 We'd like to provide some assistance with this. Tell us more about the issue you're experiencing in DM. We'll go from there.,synthetic
200093,user_ben_200093,@AppleSupport speaker stopped working after i dropped the phone !!,hardware_physical_damage,@user_ben_200093 Let's find the best fix for this. Please DM us with your device model and what happened.,synthetic
200001,user_tom_200001,"@AppleSupport hey, cant believe how bad my battery life got after this update, its unusable",software_update_device_issue,@user_tom_200001 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together.,synthetic
200038,user_victor_200038,@AppleSupport two factor authentication code isnt showing up on my other device pls help,apple_id_account_access,@user_victor_200038 Sorry about that! Please DM us your email associated with the Apple ID so we can look into this.,synthetic
200052,user_derek_200052,"@AppleSupport cant sign into icloud on my new phone, keeps saying incorrect password",apple_id_account_access,"@user_derek_200052 That sounds frustrating, let's get this sorted. Send us a DM with more details so we can help.",synthetic
200143,user_maria_200143,@AppleSupport how do i find my phone if i lost it pls help,how_to_question,"@user_maria_200143 Sure thing, please DM us your device model and iOS version so we can guide you.",synthetic
200020,user_maria_200020,"@AppleSupport my phone is so laggy since the update, everything takes forever to load",software_update_device_issue,@user_maria_200020 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM.,synthetic
200117,user_amy_200117,@AppleSupport phone gets extremely hot and shuts off randomly ...,hardware_physical_damage,@user_amy_200117 We're here to help. Please DM us with more detail on the device and issue.,synthetic
200166,user_sam_200166,@AppleSupport your app is so buggy lately it barely works pls help,general_complaint_or_praise,"@user_sam_200166 Thank you for the kind words, we'll pass that along to the team!",synthetic
200081,user_dana_200081,"@AppleSupport hey, my kid bought something in an app without permission, need a refund 😡",billing_subscription_dispute,"@user_dana_200081 That doesn't look right, let's fix it. Please DM us so we can review the transaction.",synthetic
